City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Yinchuan,CN,2021-08-15 00:36:12,38.4681,106.2731,75.2,50,13,6.62,few clouds
238,Vardo,NO,2021-08-15 00:36:13,70.3705,31.1107,49.17,84,67,7.92,broken clouds
239,San Policarpo,PH,2021-08-15 00:36:13,12.1791,125.5072,82.63,73,39,6.73,scattered clouds
240,Oistins,BB,2021-08-15 00:33:07,13.0667,-59.5333,77.09,88,75,18.41,broken clouds
241,Jabinyanah,TN,2021-08-15 00:36:13,35.035,10.9081,84.0,71,0,4.81,clear sky
242,Portland,US,2021-08-15 00:32:06,45.5234,-122.6762,98.2,43,90,1.01,smoke
243,Port Hardy,CA,2021-08-15 00:36:14,50.6996,-127.4199,68.18,73,75,5.75,broken clouds
244,Thompson,CA,2021-08-15 00:36:14,55.7435,-97.8558,78.96,53,75,5.75,broken clouds
245,Innisfail,AU,2021-08-15 00:36:14,-17.5333,146.0333,71.42,88,95,9.66,overcast clouds
246,Buala,SB,2021-08-15 00:36:15,-8.145,159.5921,85.06,69,64,6.35,broken clouds
247,Mildura,AU,2021-08-15 00:36:15,-34.2,142.15,61.07,54,90,3.44,overcast clouds
248,Marsh Harbour,BS,2021-08-15 00:36:15,26.5412,-77.0636,83.1,67,100,14.45,overcast clouds
249,Kibala,TD,2021-08-15 00:36:16,9.1104,18.3463,75.15,88,20,0.0,few clouds
250,Batemans Bay,AU,2021-08-15 00:36:16,-35.7167,150.1833,59.2,31,86,2.3,overcast clouds
251,Buchanan,LR,2021-08-15 00:36:17,5.8808,-10.0467,75.83,75,100,6.42,overcast clouds
252,New Norfolk,AU,2021-08-15 00:36:17,-42.7826,147.0587,59.92,57,100,8.01,overcast clouds
253,Cherskiy,RU,2021-08-15 00:36:17,68.75,161.3,45.19,74,100,11.86,overcast clouds
254,Ahipara,NZ,2021-08-15 00:36:18,-35.1667,173.1667,57.34,53,52,7.4,broken clouds
255,Vestmannaeyjar,IS,2021-08-15 00:36:18,63.4427,-20.2734,53.83,85,7,19.13,clear sky
256,Beira,MZ,2021-08-15 00:36:19,-19.8436,34.8389,69.89,73,75,13.8,light rain
257,Santa Cruz De Tenerife,ES,2021-08-15 00:36:19,28.4682,-16.2546,85.59,53,0,9.22,clear sky
258,Lakes Entrance,AU,2021-08-15 00:36:20,-37.8811,147.981,62.19,43,3,11.79,clear sky
259,Alyangula,AU,2021-08-15 00:36:20,-13.8483,136.4192,82.27,61,0,8.05,clear sky
