City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Guerrero Negro,MX,76.77,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
392,Porto Santo,PT,71.98,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
393,Sabang,ID,79.25,overcast clouds,5.8933,95.3214,Hotel Citra
394,Aguacatan,GT,74.5,broken clouds,15.3431,-91.3117,Nuevo Hotel Emperador
396,Pishin,PK,72.5,clear sky,30.5803,66.9961,City Hotel Pishin
400,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
401,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
402,Eyl,SO,77.34,broken clouds,7.9803,49.8164,Amiin Hotel
412,Japura,ID,77.18,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
413,Salinas,US,85.57,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
414,Ravar,IR,78.44,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
416,Puerto Madero,MX,82.6,broken clouds,14.7208,-92.4215,Hotel La Central
418,Bambanglipuro,ID,79.92,clear sky,-7.95,110.2833,Puri Brata
420,Besikduzu,TR,73.29,overcast clouds,41.052,39.2284,YKT
422,Iracoubo,GF,76.66,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
423,San Jose,US,88.88,haze,37.3394,-121.895,The Westin San Jose
428,Serra,BR,72.86,overcast clouds,-20.1286,-40.3078,Interior do Estado do Espirito Santo
431,Burewala,PK,87.78,clear sky,30.1667,72.65,Siddique asi
432,Tres Picos,MX,81.59,scattered clouds,15.8667,-93.5333,HOTEL TRES PICOS
433,Griffith,US,75.31,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
434,Along,IN,74.97,overcast clouds,28.1667,94.7667,Hotel West
439,Sibolga,ID,77.32,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
442,Hervey Bay,AU,71.71,few clouds,-25.2986,152.8535,Shelly Bay Resort
443,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
444,Okha,RU,70.03,overcast clouds,53.5739,142.9478,Империя
447,Padang,ID,76.93,overcast clouds,-0.9492,100.3543,Mercure Padang
450,Tecoanapa,MX,82.29,scattered clouds,16.5167,-98.75,Hotel Manglares
453,Elk City,US,84.69,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
456,Sao Filipe,CV,74.8,overcast clouds,14.8961,-24.4956,Hotel Xaguate
457,Zhengjiatun,CN,72.39,overcast clouds,43.5064,123.5064,Siping Hexiang Hotel
461,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
462,La Ronge,CA,88.05,haze,55.1001,-105.2842,Northland Motor Hotel
463,Pakxan,LA,74.5,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
464,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
474,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
477,Praia Da Vitoria,PT,73.65,few clouds,38.7333,-27.0667,Hotel Branco I
478,Bandundu,CD,76.84,broken clouds,-3.3167,17.3667,Coja Color
479,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
480,Hamilton,US,78.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
483,Oro Valley,US,84.06,overcast clouds,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
484,Canico,PT,76.12,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
486,Waingapu,ID,83.71,clear sky,-9.6567,120.2641,Pondok Wisata Elim
487,Kedougou,SN,77.58,moderate rain,12.5579,-12.1743,Relais de Kédougou
488,Boyolangu,ID,78.64,scattered clouds,-8.1181,111.8935,Yos ega cv
490,Biaora,IN,73.49,broken clouds,23.8667,76.9167,SARPANCH MOTEL HOTEL
492,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
493,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
494,Byron Bay,AU,75.06,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
496,Shimoda,JP,80.71,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
497,Wattegama,LK,79.72,overcast clouds,6.7989,81.4808,
498,Zhoucheng,CN,77.14,clear sky,35.9122,116.3117,Yingbin Restaurant
499,Jacmel,HT,85.84,clear sky,18.2342,-72.5347,Historic Hotel Florita
500,Teruel,ES,82.36,scattered clouds,40.6667,-0.6667,La Parra
502,Itaituba,BR,72.34,overcast clouds,-4.2761,-55.9836,Hotel Campos
505,Marshfield,US,78.53,clear sky,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
507,Nishihara,JP,85.66,scattered clouds,26.1842,127.7558,Minshuku Agaihama
511,Barra Dos Coqueiros,BR,73.42,broken clouds,-10.9089,-37.0386,Jangadeiro
512,Manokwari,ID,82.42,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
516,Karratha,AU,76.01,broken clouds,-20.7377,116.8463,ibis Styles Karratha
517,Sibu,MY,73.71,light rain,2.3,111.8167,RH HOTEL (4 Star)
518,Vostok,RU,70.56,broken clouds,46.4856,135.8833,
519,Awbari,LY,80.51,clear sky,26.5921,12.7805,فندق أوباري
520,Rincon,US,82.85,light rain,32.296,-81.2354,Days Inn Rincon
525,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
526,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
528,Amarante Do Maranhao,BR,77.99,few clouds,-5.5667,-46.7422,Hotéis Caçulinha
529,Sao Miguel Do Araguaia,BR,77.74,clear sky,-13.275,-50.1628,Hotel Executivo Palace
530,Harper,LR,74.82,clear sky,4.375,-7.7169,Screensaver
533,North Myrtle Beach,US,82.69,clear sky,33.816,-78.68,Avista Resort
535,Palmas,BR,78.67,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
540,San Matias,BO,73.81,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
542,Zaoyang,CN,76.75,light rain,32.1272,112.7542,Shanghai Hotel
545,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
546,Ewo,CG,79.59,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
549,Awka,NG,73.13,overcast clouds,6.2101,7.0741,Best Western Meloch Hotel
551,Dataganj,IN,80.89,overcast clouds,28.0333,79.4,Hani Traders
552,Panaba,MX,80.35,clear sky,21.2833,-88.2667,Posada rosario
553,Luorong,CN,79.61,light rain,24.4058,109.6086,荣立大酒店
556,Bac Lieu,VN,82.06,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
557,Guadalajara,MX,78.57,broken clouds,20.6667,-103.3333,Hotel Aranzazú
563,Celestun,MX,82.0,clear sky,20.8667,-90.4,Posada Lilia
564,Masuguru,TZ,72.43,clear sky,-11.3667,38.4167,
